Title,Earnings,Opening Weekend,Opening Date,Close Date
A Soldier's Daughter Never Cries,"1,782,005","39,517",9/18/1998,NA
Suicide Kings,"1,740,156","558,081",4/17/1998,NA
Live Flesh,"1,713,459",N/A,1/16/1998,NA
The Gingerbread Man,"1,677,131","118,278",1/23/1998,NA
The Celebration,"1,656,223","50,497",10/9/1998,NA
In God's Hands,"1,546,414","555,342",4/24/1998,NA
Henry Fool,"1,338,335","40,939",6/19/1998,NA
Cousin Bette,"1,295,194","76,488",6/12/1998,NA
One Tough Cop,"1,223,034","651,350",10/9/1998,NA
The General (1998),"1,214,198","26,771",12/18/1998,NA
Nightwatch,"1,179,002","585,733",4/17/1998,NA
Permanent Midnight,"1,171,001","260,562",9/18/1998,NA
A Price Above Rubies,"1,130,732","36,063",3/27/1998,NA
The Thief,"1,126,506","33,340",7/17/1998,NA
Deja Vu (1998),"1,086,181","29,018",4/24/1998,NA
Lolita (1998),"1,071,255","19,492",7/24/1998,NA
Velvet Goldmine,"1,053,788","301,787",11/6/1998,NA
Another Day in Paradise,"1,036,818","14,900",12/30/1998,NA
Slam,"1,009,819",N/A,10/7/1998,NA
Men with Guns,"910,773",N/A,1/27/1998,NA
Strike!,"907,996","307,763",8/21/1998,NA
Firelight,"785,482","135,401",9/4/1998,NA
Without Limits,"777,423","56,180",9/11/1998,NA
Nights of Cabiria (re-issue),"752,045","38,988",7/1/1998,NA
The Big One,"720,074","146,909",4/10/1998,NA
Strangeland,"713,239","373,288",10/2/1998,NA
Polish Wedding,"692,588","92,055",7/17/1998,NA
"Dancer, Texas Pop. 81","676,631","87,983",5/1/1998,NA
Kurt and Courtney,"668,228","16,835",2/27/1998,NA
Character,"623,983","37,268",3/27/1998,NA
Orgazmo,"602,302","210,073",10/23/1998,NA
Deceiver,"572,433","279,103",1/30/1998,NA
Hands on a Hard Body,"563,482","7,607",7/10/1998,NA
Clockwatchers,"537,948","34,838",5/15/1998,NA
Wild Man Blues,"533,759","54,458",4/17/1998,NA
Cube,"501,818","57,147",9/11/1998,NA
Fireworks,"500,000","59,508",3/20/1998,NA
The Eel,"418,480","29,879",8/21/1998,NA
1998 Bugs Bunny Film Festival,"413,076","12,285",2/13/1998,NA
Four Days in September,"397,517","32,017",1/30/1998,NA
Swept from the Sea,"397,020","163,289",1/23/1998,NA
Steam: Turkish Bath,"384,793","32,082",11/27/1998,NA
3 Ninjas: High Noon at Mega Mountain,"375,805","150,127",4/10/1998,NA
Hurricane Streets,"375,634","231,500",2/13/1998,NA
Shooting Fish,"375,261","56,240",5/1/1998,NA
Artemisia,"356,749","32,941",5/8/1998,NA
Love Is the Devil,"354,004","63,202",10/7/1998,NA
I Think I Do,"345,478","33,633",4/10/1998,NA
The Bicycle Thief (1998 re-issue),"334,293","25,377",10/2/1998,NA
Monument Ave.,"333,760","41,556",9/25/1998,NA
Life Is Beautiful (dubbed),"315,880","63,934",11/6/1998,NA
Whatever,"307,037",N/A,7/10/1998,NA
Mr. Jealousy,"301,796",N/A,6/5/1998,NA
Marius and Jeannette,"285,038",N/A,4/24/1998,NA
Wide Awake,"282,175","95,875",3/20/1998,NA
Taxi (1998),"268,254",N/A,11/20/1998,NA
Nil by Mouth,"266,130","28,367",2/6/1998,NA
A Place Called Chiapas,"252,546",N/A,11/4/1998,NA
The Swindle,"250,899","24,917",12/23/1998,NA
Passion in the Desert,"250,897",N/A,6/12/1998,NA
The Land Girls,"238,497","20,921",6/12/1998,NA
Picnic at Hanging Rock (Re-issue),"232,201","27,492",6/26/1998,NA
Still Breathing,"228,455","86,659",5/1/1998,NA
Insomnia (1998),"227,569","20,366",5/29/1998,NA
No Looking Back,"222,099","44,003",3/27/1998,NA
"Niagara, Niagara","214,661","16,745",3/20/1998,NA
I Married a Strange Person!,"206,272","13,472",8/28/1998,NA
Ayn Rand: A Sense of Life,"205,246","26,101",2/13/1998,NA
Beyond Silence,"181,881","14,015",6/5/1998,NA
Chairman of the Board,"181,233","181,233",3/13/1998,NA
The Hi-Lo Country,"166,082","17,712",12/30/1998,NA
Fallen Angels,"163,145","13,804",1/21/1998,NA
The Proposition (1998),"147,773","61,560",3/27/1998,NA
Six-String Samurai,"146,125","36,896",9/18/1998,NA
Les Couloirs du Temps: Les Visiteurs 2,"146,072","68,316",3/27/1998,NA
Under the Skin,"140,254",N/A,5/22/1998,NA
The Night Flier,"125,397","91,549",2/6/1998,NA
The Beyond (re-issue),"123,843","18,148",6/12/1998,NA
Sour Grapes,"123,104","123,104",4/17/1998,NA
Music from Another Room,"118,475",N/A,4/24/1998,NA
Lawn Dogs,"106,404","22,491",5/15/1998,NA
Shattered Image,"106,116","31,859",12/4/1998,NA
Little Men,"104,255","77,924",5/8/1998,NA
"I Love You, Don't Touch Me","98,973","33,598",2/20/1998,NA
Un air de famille,"92,806",N/A,6/12/1998,NA
The Brandon Teena Story,"92,113","11,281",9/23/1998,NA
Young Girls of Rochefort (Re-issue),"91,837",N/A,8/14/1998,NA
Twentyfourseven,"91,805","5,522",4/15/1998,NA
The Real Blonde,"83,488","83,488",2/27/1998,NA
Slappy and the Stinkers,"80,837","34,488",1/23/1998,NA
Seventh Heaven,"79,808",N/A,7/29/1998,NA
Genealogies of a Crime,"77,998",N/A,3/27/1998,NA
Homegrown,"77,910","77,910",4/17/1998,NA
The Theory of Flight,"73,233","15,179",12/23/1998,NA
Plump Fiction,"71,145","37,260",5/15/1998,NA
The Mirror,"69,915",N/A,9/18/1998,NA
The Alarmist,"59,864","7,787",10/16/1998,NA
Sonatine,"58,834","17,527",4/10/1998,NA
The Big Chill (re-issue),"56,948","56,948",11/6/1998,NA
The Only Thrill,"52,436",N/A,2/13/1998,NA
The Ogre,"50,935",N/A,12/11/1998,NA
An Alan Smithee Film: Burn Hollywood Burn,"45,779","28,992",2/27/1998,NA
Safe Men,"45,724","21,210",8/7/1998,NA
Phoenix,"45,661","31,579",9/4/1998,NA
Digging to China,"43,961","19,162",9/11/1998,NA
"First Love, Last Rites","42,953","13,809",8/7/1998,NA
A Personal Journey with Martin Scorsese Through American Movies,"39,075","10,350",3/6/1998,NA
Welcome to Woop Woop,"37,621","19,812",11/13/1998,NA
Regeneration,"33,131","19,593",8/14/1998,NA
Mean Streets (Re-issue),"32,645","32,645",3/13/1998,NA
Bad Manners,"31,687","11,656",10/9/1998,NA
Carla's Song,"25,845",N/A,6/26/1998,NA
Go Now!,"25,695","3,657",5/1/1998,NA
Dream for an Insomniac,"24,727","6,201",6/19/1998,NA
Chicago Cab,"23,946","2,947",9/11/1998,NA
The Last Big Thing,"22,731",N/A,9/25/1998,NA
Off the Menu...,"19,285",N/A,5/15/1998,NA
Talk of Angels,"18,281","6,876",10/30/1998,NA
The Leading Man,"18,012","2,483",3/6/1998,NA
Dear Jesse,"17,744","1,508",6/26/1998,NA
"Comrades, Almost a Love Story","17,676","8,510",2/20/1998,NA
Ten Benny,"15,843",N/A,11/13/1998,NA
Esmeralda Comes by Night,"15,671",N/A,9/18/1998,NA
Full-Tilt Boogie,"15,313","9,895",7/31/1998,NA
The Break,"14,760","5,975",2/20/1998,NA
Hard Core Logo,"14,540","3,864",11/13/1998,NA
Savior,"14,328","3,898",11/20/1998,NA
Little Boy Blue,"12,958",N/A,5/29/1998,NA
Hit Me,"12,500","3,348",10/2/1998,NA
Storefront Hitchcock,"12,355","1,803",11/20/1998,NA
True Friends,"12,231",N/A,1/30/1998,NA
The Last Broadcast,"12,097",N/A,10/23/1998,NA
Stolen Moments,"9,743","3,636",4/10/1998,NA
Out of the Past (1998),"9,078","1,671",7/31/1998,NA
Hi-Life,"9,066","3,773",12/4/1998,NA
Ill Gotten Gains,"8,329","4,401",9/18/1998,NA
The Last of the High Kings,"7,682","5,569",4/10/1998,NA
The Jew in the Lotus,"6,940",N/A,9/3/1998,NA
Blood of His Own,"6,792",N/A,7/31/1998,NA
Reach the Rock,"4,960","3,317",10/16/1998,NA
The Other Side of Sunday,"4,769","2,621",5/1/1998,NA
Eden (1998),"4,210","1,564",3/27/1998,NA
Detroit 9000 (Re-issue),"3,179","2,054",10/9/1998,NA
Thursday,"3,121","1,971",11/13/1998,NA
"Pretty Village, Pretty Flame",211,141,1/16/1998,NA
Star Wars: Episode I - The Phantom Menace,"431,088,295","64,820,970",5/19/1999,NA
The Sixth Sense,"293,506,292","26,681,262",8/6/1999,NA
Toy Story 2,"245,852,179","300,163",11/19/1999,NA
Austin Powers: The Spy Who Shagged Me,"206,040,086","54,917,604",6/11/1999,NA
The Matrix,"171,479,930","27,788,331",3/31/1999,NA
Tarzan,"171,091,819","34,221,968",6/16/1999,NA
Big Daddy,"163,479,795","41,536,370",6/25/1999,NA
The Mummy,"155,385,488","43,369,635",5/7/1999,NA
Runaway Bride,"152,257,509","35,055,556",7/30/1999,NA
The Blair Witch Project,"140,539,099","1,512,054",7/16/1999,NA
Stuart Little,"140,035,367","15,018,223",12/17/1999,NA
The Green Mile,"136,801,374","18,017,152",12/10/1999,NA
American Beauty,"130,096,601","861,531",9/15/1999,NA
The World Is Not Enough,"126,943,684","35,519,007",11/19/1999,NA
Double Jeopardy,"116,741,558","23,162,542",9/24/1999,NA
Notting Hill,"116,089,678","21,811,180",5/28/1999,NA
Wild Wild West,"113,804,681","27,687,484",6/30/1999,NA
Analyze This,"106,885,658","18,383,507",3/5/1999,NA
The General's Daughter,"102,705,852","22,332,053",6/18/1999,NA
American Pie,"102,561,004","18,709,680",7/9/1999,NA
Sleepy Hollow,"101,071,502","30,060,467",11/19/1999,NA
Inspector Gadget,"97,403,112","21,889,138",7/23/1999,NA
The Haunting,"91,411,151","33,435,140",7/23/1999,NA
Entrapment,"87,704,396","20,145,595",4/30/1999,NA
Pokemon: The First Movie,"85,744,662","31,036,678",11/10/1999,NA
Payback,"81,526,121","21,221,526",2/5/1999,NA
The Talented Mr. Ripley,"81,298,265","12,738,237",12/25/1999,NA
Any Given Sunday,"75,530,832","13,584,625",12/22/1999,NA
Deep Blue Sea,"73,648,142","19,107,643",7/30/1999,NA
Galaxy Quest,"71,583,916","7,012,630",12/25/1999,NA
The Thomas Crown Affair,"69,305,181","14,600,719",8/6/1999,NA
Blue Streak,"68,518,533","19,208,806",9/17/1999,NA
End of Days,"66,889,043","20,523,595",11/24/1999,NA
The Bone Collector,"66,518,655","16,712,020",11/5/1999,NA
Bowfinger,"66,384,775","18,062,550",8/13/1999,NA
Deuce Bigalow: Male Gigolo,"65,538,755","12,224,016",12/10/1999,NA
Life,"63,886,029","20,414,775",4/16/1999,NA
She's All That,"63,366,989","16,065,430",1/29/1999,NA
Three Kings,"60,652,036","15,847,636",10/1/1999,NA
Bicentennial Man,"58,223,861","8,234,926",12/17/1999,NA
The Cider House Rules,"57,545,092","110,098",12/10/1999,NA
Eyes Wide Shut,"55,691,208","21,706,163",7/16/1999,NA
Never Been Kissed,"55,474,756","11,836,707",4/9/1999,NA
Varsity Blues,"52,894,169","15,204,148",1/15/1999,NA
Forces of Nature,"52,888,180","13,510,728",3/19/1999,NA
Message in a Bottle,"52,880,016","16,751,560",2/12/1999,NA
"South Park - Bigger, Longer and Uncut","52,037,603","11,335,889",6/30/1999,NA
The Hurricane,"50,699,241","384,640",12/29/1999,NA
Stigmata,"50,046,268","18,309,666",9/10/1999,NA
House on Haunted Hill,"40,846,082","15,946,032",10/29/1999,NA
Anna and the King,"39,263,420","5,223,416",12/17/1999,NA
Cruel Intentions,"38,328,567","13,020,565",3/5/1999,NA
10 Things I Hate About You,"38,178,166","8,330,681",3/31/1999,NA
Fight Club,"37,030,102","11,035,485",10/15/1999,NA
My Favorite Martian,"36,850,101","8,828,586",2/12/1999,NA
8MM,"36,663,315","14,252,888",2/26/1999,NA
For Love of the Game,"35,188,640","13,041,685",9/17/1999,NA
Man on the Moon,"34,607,430","7,515,585",12/22/1999,NA
Instinct,"34,105,207","10,390,387",6/4/1999,NA
The Best Man,"34,102,780","9,031,660",10/22/1999,NA
Mickey Blue Eyes,"33,864,342","10,178,289",8/20/1999,NA
The 13th Warrior,"32,698,899","10,267,756",8/27/1999,NA
October Sky,"32,547,800","5,905,250",2/19/1999,NA
Lake Placid,"31,770,414","10,974,145",7/16/1999,NA
Random Hearts,"31,502,583","13,012,585",10/8/1999,NA
Dogma,"30,652,890","8,669,945",11/12/1999,NA
Superstar,"30,636,478","8,912,743",10/8/1999,NA
Mystery Men,"29,762,011","10,017,865",8/6/1999,NA
The Insider,"29,089,912","6,712,361",11/5/1999,NA
"Girl, Interrupted","28,912,646","95,399",12/21/1999,NA
The Out-of-Towners,"28,544,120","8,224,215",4/2/1999,NA
The Other Sister,"27,807,627","6,624,445",2/26/1999,NA
Baby Geniuses,"27,250,736","5,613,587",3/12/1999,NA
The Story of Us,"27,100,031","9,673,080",10/15/1999,NA
Blast from the Past,"26,511,114","7,771,066",2/12/1999,NA
The Wood,"25,059,640","8,515,223",7/16/1999,NA
Arlington Road,"24,756,177","7,515,145",7/9/1999,NA
The Iron Giant,"23,159,305","5,732,614",8/3/1999,NA
Being John Malkovich,"22,863,596","637,721",10/29/1999,NA
Magnolia,"22,455,976","193,604",12/17/1999,NA
EDtv,"22,431,897","8,311,290",3/26/1999,NA
At First Sight,"22,365,133","8,444,321",1/15/1999,NA
The Bachelor,"21,760,240","7,480,288",11/5/1999,NA
Stir of Echoes,"21,142,914","5,811,664",9/10/1999,NA
Doug's First Movie,"19,440,089","4,470,489",3/26/1999,NA
Summer of Sam,"19,288,130","5,952,452",7/2/1999,NA
Anywhere But Here,"18,670,401","5,607,137",11/12/1999,NA
Galapagos (IMAX),"18,627,817","36,316",10/29/1999,NA
An Ideal Husband,"18,542,974","192,802",6/18/1999,NA
Drive Me Crazy,"17,845,337","6,846,112",10/1/1999,NA
The Rage: Carrie 2,"17,762,705","7,065,123",3/12/1999,NA
Go,"16,943,454","4,706,795",4/9/1999,NA
Bringing Out the Dead,"16,797,191","6,193,052",10/22/1999,NA
True Crime,"16,649,768","5,276,109",3/19/1999,NA
Muppets from Space,"16,625,807","4,826,049",7/14/1999,NA
A Midsummer Night's Dream,"16,071,990","4,285,620",5/14/1999,NA
The Corruptor,"15,164,492","5,765,300",3/12/1999,NA
Election,"14,902,041","119,080",4/23/1999,NA
Music of the Heart,"14,859,394","3,653,281",10/29/1999,NA
Snow Falling on Cedars,"14,417,593","32,135",12/22/1999,NA
Tea with Mussolini,"14,401,563","1,633,183",5/14/1999,NA
The Messenger: The Story of Joan of Arc,"14,276,317","6,360,968",11/12/1999,NA
Virus,"14,036,005","6,013,640",1/15/1999,NA
In Too Deep,"14,011,454","4,220,297",8/27/1999,NA
The Deep End of the Ocean,"13,898,649","5,558,400",3/12/1999,NA
The Mod Squad,"13,263,993","6,064,716",3/26/1999,NA
Angela's Ashes,"13,042,112","54,628",12/25/1999,NA
The Omega Code,"12,614,346","2,354,362",10/15/1999,NA
Black Mask,"12,504,289","4,449,692",5/14/1999,NA
Extreme (IMAX),"12,475,172","90,089",4/2/1999,NA
In Dreams,"12,017,369","3,992,449",1/15/1999,NA
The King and I (1999),"11,993,021","4,007,565",3/19/1999,NA
The Thirteenth Floor,"11,916,661","3,322,416",5/28/1999,NA
The Adventures of Elmo in Grouchland,"11,683,047","3,255,033",10/1/1999,NA
The Muse,"11,614,954","3,926,825",8/27/1999,NA
Wing Commander,"11,578,059","5,114,365",3/12/1999,NA
Boys Don't Cry,"11,540,607","73,720",10/8/1999,NA
Chill Factor,"11,263,966","4,529,231",9/3/1999,NA
Cookie's Fortune,"10,920,544","186,828",4/2/1999,NA
The End of the Affair,"10,827,816","198,535",12/3/1999,NA
Office Space,"10,827,810","4,231,727",2/19/1999,NA
The Astronaut's Wife,"10,672,566","4,027,003",8/27/1999,NA
Universal Soldier: The Return,"10,667,893","4,605,167",8/20/1999,NA
Island of the Sharks (IMAX),"10,658,505","46,608",4/23/1999,NA
Drop Dead Gorgeous,"10,571,408","3,986,269",7/23/1999,NA
Three to Tango,"10,570,375","4,406,135",10/22/1999,NA
Bats,"10,155,690","4,717,902",10/22/1999,NA
Brokedown Palace,"10,115,013","3,871,616",8/13/1999,NA
Dudley Do-Right,"9,974,410","3,018,345",8/27/1999,NA
Trippin',"9,017,070","2,527,909",5/14/1999,NA
Alien Adventure (IMAX),"8,959,784","38,410",8/20/1999,NA
Teaching Mrs. Tingle,"8,951,935","3,326,870",8/20/1999,NA
"Mystery, Alaska","8,891,623","3,102,191",10/1/1999,NA
Play It to the Bone,"8,434,146","3,366",12/25/1999,NA
Pushing Tin,"8,408,835","3,555,032",4/23/1999,NA
Twin Dragons,"8,359,717","2,829,990",4/9/1999,NA
The Love Letter,"8,302,478","2,692,819",5/21/1999,NA
All About My Mother,"8,272,296","50,362",11/5/1999,NA
Outside Providence,"7,302,522","2,631,411",9/1/1999,NA
Run Lola Run,"7,267,585","123,643",6/18/1999,NA
Encounter in the 3rd Dimension (IMAX),"7,195,792","21,653",2/26/1999,NA
Buena Vista Social Club,"7,002,182","127,370",6/4/1999,NA
200 Cigarettes,"6,852,450","3,244,277",2/26/1999,NA
Lost and Found (1999),"6,552,255","3,024,709",4/23/1999,NA
Dick,"6,262,878","2,210,267",8/3/1999,NA
Topsy-Turvy,"6,208,548","31,387",12/15/1999,NA
The Straight Story,"6,203,044","92,312",10/15/1999,NA
Foolish,"6,033,999","2,184,633",4/9/1999,NA
Light it Up,"5,985,690","2,408,613",11/10/1999,NA
Siegfried & Roy: The Magic Box (IMAX),"5,231,283","167,251",10/1/1999,NA
Sunshine (1999),"5,096,267","42,700",12/17/1999,NA
Jakob the Liar,"4,956,401","2,056,647",9/24/1999,NA
Wolves (IMAX),"4,811,282","48,513",6/18/1999,NA
Mansfield Park,"4,775,847","85,608",11/19/1999,NA
A Walk on the Moon,"4,750,660","78,709",3/26/1999,NA
Mumford,"4,555,459","1,851,291",9/24/1999,NA
Flawless (1999),"4,488,529","1,590,155",11/26/1999,NA
Simply Irresistible,"4,398,989","2,232,686",2/5/1999,NA
Detroit Rock City,"4,217,115","2,005,512",8/13/1999,NA
Gloria,"4,197,729","2,143,089",1/22/1999,NA
Sweet and Lowdown,"4,197,015","94,686",12/3/1999,NA
Idle Hands,"4,152,230","1,807,181",4/30/1999,NA
The Dinner Game,"4,071,548","25,520",7/9/1999,NA
Playing by Heart,"3,970,078","26,669",1/1/1999,NA
The Winslow Boy,"3,957,934","80,553",4/30/1999,NA
"Lock, Stock and Two Smoking Barrels","3,753,929","143,321",3/5/1999,NA
Liberty Heights,"3,736,868","95,247",11/19/1999,NA
Fifty (IMAX),"3,328,240","335,380",10/29/1999,NA
Elvis Gratton 2,"3,316,272","470,089",7/2/1999,NA
The Limey,"3,204,663","187,122",10/8/1999,NA
Jawbreaker,"3,117,085","1,603,425",2/19/1999,NA
Love Stinks,"2,924,635","1,339,575",9/10/1999,NA
Cradle Will Rock,"2,903,404","93,998",12/10/1999,NA
eXistenZ,"2,856,712","810,262",4/23/1999,NA
Princess Mononoke,"2,375,308","144,446",10/29/1999,NA
Autumn Tale,"2,205,339","33,631",7/9/1999,NA
A Dog of Flanders,"2,165,637","807,873",8/27/1999,NA
Limbo,"2,160,710","139,634",6/4/1999,NA
Trick,"2,087,228","118,594",7/23/1999,NA
Ravenous,"2,062,405","1,040,727",3/19/1999,NA
Beyond the Mat,"2,053,648","9,532",10/22/1999,NA
Besieged,"2,048,740","159,289",5/21/1999,NA
Wildfire: Feel the Heat (IMAX),"2,040,635","32,819",3/12/1999,NA
Three Seasons,"2,021,698","47,542",4/30/1999,NA
Taal,"2,020,532","591,289",8/13/1999,NA
Better Than Chocolate,"2,015,406","84,584",8/13/1999,NA
Titus,"2,007,290","22,313",12/25/1999,NA
Crazy in Alabama,"2,005,840","1,010,596",10/22/1999,NA
Hum Saath-Saath Hain,"2,005,094","651,575",11/5/1999,NA
"Happy, Texas","1,955,933","72,056",10/1/1999,NA
Goodbye Lover,"1,940,299","1,011,175",4/16/1999,NA
Tango,"1,897,948","78,315",1/22/1999,NA
Holy Smoke,"1,765,545","33,307",12/3/1999,NA
The Dreamlife of Angels,"1,726,567","59,333",4/2/1999,NA
Asterix et Obelix Contre Cesar,"1,644,060","304,245",6/4/1999,NA
Tumbleweeds,"1,350,248","80,030",11/26/1999,NA
Romance,"1,314,053","44,829",9/17/1999,NA
The Emperor and the Assassin,"1,267,239","47,295",12/15/1999,NA
Hideous Kinky,"1,263,279","82,431",4/16/1999,NA
American Movie,"1,165,795","20,260",11/5/1999,NA
Get Real,"1,152,979","54,254",4/30/1999,NA
The King of Masks,"1,113,103","51,539",5/14/1999,NA
This Is My Father,"1,083,975","54,876",5/7/1999,NA
Xiu Xiu: The Sent Down Girl,"1,010,933","23,880",5/7/1999,NA
The IMAX Nutcracker (IMAX),"1,009,291","106,431",11/12/1999,NA
Straight from the Heart,"1,007,446","298,769",6/18/1999,NA
"Twin Falls, Idaho","985,341","49,849",7/30/1999,NA
Children of Heaven,"933,933","20,100",1/22/1999,NA
The Castle,"877,621","29,452",5/7/1999,NA
Edge of Seventeen,"871,759","5,302",4/30/1999,NA
Wildfire,"858,356","26,227",6/18/1999,NA
Illuminata,"840,134","53,264",8/3/1999,NA
Felicia's Journey,"824,295","43,131",11/12/1999,NA
After Life,"801,985","11,791",5/14/1999,NA
Laura Cadieux... La Suite,"777,477","180,948",12/3/1999,NA
Body Shots,"752,122","488,342",10/22/1999,NA
Baadshah,"660,216","263,084",8/27/1999,NA
My Life So Far,"635,620","53,937",7/23/1999,NA
Ride with the Devil,"635,096","64,159",11/26/1999,NA
Grey Owl,"632,617","162,360",10/1/1999,NA
Guinevere,"619,511","54,145",9/24/1999,NA
The Third Man (re-issue),"618,173","13,576",5/7/1999,NA
Last Night (1999),"591,165","24,057",4/30/1999,NA
The Third Miracle,"591,142","29,459",12/31/1999,NA
A Map of the World,"544,965","14,017",12/3/1999,NA
20 Dates,"541,636","40,244",2/26/1999,NA
Still Crazy,"524,864","102,971",1/22/1999,NA
Mr. Death,"507,941","24,125",12/29/1999,NA
Plunkett and Macleane,"474,900","244,765",10/1/1999,NA
Just the Ticket,"430,404","247,585",2/26/1999,NA
Earth (1999),"424,798","42,449",9/10/1999,NA
The Last Days,"421,432","20,492",2/5/1999,NA
"My Son, the Fanatic","417,683","38,399",6/25/1999,NA
The School of Flesh,"402,668","43,021",2/26/1999,NA
Dillagi,"401,245","178,909",11/19/1999,NA
Lucie Aubrac,"394,079","19,644",9/17/1999,NA
Head On,"379,384","14,224",8/13/1999,NA
Genghis Blues,"374,550","6,524",7/1/1999,NA
Open Your Eyes,"370,720","38,289",4/16/1999,NA
The Minus Man,"370,668","40,292",9/10/1999,NA
The Basket,"367,098","61,300",8/20/1999,NA
The Source,"362,649",N/A,8/25/1999,NA
My Name Is Joe,"354,952","16,017",1/22/1999,NA
"Black Cat, White Cat","351,447","35,916",9/10/1999,NA
Les Enfants Du Marais,"324,006","47,170",10/1/1999,NA
Trekkies,"318,246","125,636",5/21/1999,NA
Lovers of the Arctic Circle,"317,422","10,697",4/9/1999,NA
Le Dernier Souffle,"316,043","62,727",3/26/1999,NA
Hindustan Ki Kasam,"310,330","108,917",7/23/1999,NA
42 Up,"300,880","11,599",11/17/1999,NA
SLC Punk!,"299,569","36,218",4/16/1999,NA
Simon Sez,"292,152","185,472",9/24/1999,NA
Sarfarosh,"288,733","150,429",4/30/1999,NA
